ts,coin,mark,long_ntl,short_ntl,near_liq_long,near_liq_short,n_pos
2026-07-13T12:01:50Z,BOME,0.000404,15029,44513,0,0,10
2026-07-13T12:01:50Z,HBAR,0.066819,233986,200324,0,0,20
2026-07-13T12:01:50Z,POPCAT,0.044151,32994,339241,0,0,18
2026-07-13T12:01:50Z,RENDER,1.5132,173515,114440,0,0,15
2026-07-13T12:01:50Z,IOTA,0.037138,11730,15632,0,0,7
2026-07-13T12:01:50Z,ME,0.06298,56746,76803,0,0,12
2026-07-13T12:01:50Z,S,0.025537,5895,204729,0,0,16
2026-07-13T12:01:50Z,VINE,0.008809,9692,27137,0,0,5
2026-07-13T12:01:50Z,NIL,0.034208,44238,166213,0,0,12
2026-07-13T12:01:50Z,RESOLV,0.019635,37683,88947,0,0,11
2026-07-13T12:01:50Z,HEMI,0.004348,16403,39590,0,0,10
2026-07-13T12:01:50Z,2Z,0.072305,177682,146227,0,0,15
2026-07-13T12:01:50Z,MEGA,0.048549,25167,81328,0,0,14
2026-07-13T12:01:50Z,AXS,0.98165,32670,133501,0,0,12
2026-07-13T12:01:50Z,AZTEC,0.014196,37538,56662,0,0,6
2026-07-13T12:01:50Z,ATOM,1.5437,313721,36638,0,0,17
2026-07-13T12:01:50Z,DYDX,0.12779,3001,296852,0,0,14
2026-07-13T12:01:50Z,INJ,4.7471,417165,110780,0,0,22
2026-07-13T12:01:50Z,STX,0.16583,67199,23903,0,0,14
2026-07-13T12:01:50Z,CFX,0.042931,8026,385238,0,0,12
2026-07-13T12:01:50Z,GMX,5.6415,4333,161851,0,0,13
2026-07-13T12:01:50Z,APT,0.6001,478040,72768,0,0,27
2026-07-13T12:01:50Z,COMP,16.851,68126,151313,0,0,15
2026-07-13T12:01:50Z,YGG,0.021638,17069,40187,0,0,11
2026-07-13T12:01:50Z,SEI,0.047966,32299,202652,0,0,17
2026-07-13T12:01:50Z,RUNE,0.40518,45262,205417,0,0,11
2026-07-13T12:01:50Z,DOT,0.83047,859172,181707,0,0,24
2026-07-13T12:01:50Z,TRB,14.98,119319,45864,0,0,13
2026-07-13T12:01:50Z,BIGTIME,0.006967,40610,20375,0,0,11
2026-07-13T12:01:50Z,TIA,0.41496,47335,345479,0,0,20
2026-07-13T12:01:50Z,BSV,14.324,4720,100378,0,0,11
2026-07-13T12:01:50Z,MINA,0.043495,14044,104400,0,0,9
2026-07-13T12:01:50Z,POLYX,0.035688,6183,36730,0,0,9
2026-07-13T12:01:50Z,GAS,1.0435,12849,46392,0,0,7
2026-07-13T12:01:50Z,FET,0.16023,10569,683608,0,0,17
2026-07-13T12:01:50Z,MEME,0.00055,38979,74172,0,0,11
2026-07-13T12:01:50Z,NEO,1.9275,95859,51864,0,0,11
2026-07-13T12:01:50Z,ZEN,4.0774,4382,38983,0,0,11
2026-07-13T12:01:50Z,FIL,0.7593,422033,172528,0,0,16
2026-07-13T12:01:50Z,PYTH,0.049568,84912,449380,0,0,19
2026-07-13T12:01:50Z,SUSHI,0.16002,71225,93292,0,0,12
2026-07-13T12:01:50Z,IMX,0.13303,6323,360324,0,0,15
2026-07-13T12:01:50Z,GMT,0.007539,38643,5566,0,0,9
2026-07-13T12:01:50Z,SUPER,0.0851,12077,47399,0,0,7
2026-07-13T12:01:50Z,kLUNC,0.059982,0,84649,0,0,8
2026-07-13T12:01:50Z,RSR,0.001222,33481,29537,0,0,5
2026-07-13T12:01:50Z,GALA,0.002029,21518,13572,0,0,11
2026-07-13T12:01:50Z,JTO,0.65931,17041,1114399,0,0,22
2026-07-13T12:01:50Z,ACE,0.0714,15415,79584,0,0,9
2026-07-13T12:01:50Z,PEOPLE,0.005588,45505,19182,0,0,8
2026-07-13T12:01:50Z,ENS,4.0967,42,316469,0,0,14
2026-07-13T12:01:50Z,XAI,0.0069,27970,50269,0,0,9
2026-07-13T12:01:50Z,MANTA,0.0595,11055,93863,0,0,10
2026-07-13T12:01:50Z,ALT,0.006218,92030,24009,0,0,11
2026-07-13T12:01:50Z,ZETA,0.03431,30632,1214,0,0,11
2026-07-13T12:01:50Z,DYM,0.01537,9443,60228,0,0,7
2026-07-13T12:01:50Z,W,0.00957,183904,275839,0,0,15
2026-07-13T12:01:50Z,STRK,0.02978,38059,414383,0,0,16
2026-07-13T12:01:50Z,AR,1.9302,31900,507938,0,0,16
2026-07-13T12:01:50Z,SAGA,0.0125,419,108074,0,0,12
2026-07-13T12:01:50Z,MERL,0.017243,58477,75430,0,0,6
2026-07-13T12:01:50Z,REZ,0.002448,1508,66301,0,0,9
2026-07-13T12:01:50Z,NOT,0.000379,52784,71929,0,0,6
2026-07-13T12:01:50Z,TURBO,0.000852,38136,121760,0,0,13
2026-07-13T12:01:50Z,BRETT,0.005156,62445,33025,0,0,10
2026-07-13T12:01:50Z,IO,0.15646,75862,105845,0,0,11
2026-07-13T12:01:50Z,ZK,0.010244,167150,196393,0,0,13
2026-07-13T12:01:50Z,CELO,0.072429,24123,16092,0,0,6
2026-07-13T12:01:50Z,kNEIRO,0.0612,45855,39181,0,0,5
2026-07-13T12:01:50Z,MOODENG,0.038655,61181,69499,0,0,13
2026-07-13T12:01:50Z,GRASS,0.39736,21946,363657,0,0,16
2026-07-13T12:01:50Z,PURR,0.085953,2051,171970,0,0,9
2026-07-13T12:01:50Z,PNUT,0.04274,6852,311046,0,0,19
2026-07-13T12:01:50Z,SAND,0.047656,134312,11788,0,0,9
2026-07-13T12:01:50Z,MOVE,0.010675,21303,75061,0,0,10
2026-07-13T12:01:50Z,VIRTUAL,0.56365,113282,1464168,0,0,22
2026-07-13T12:01:50Z,USUAL,0.00877,3334,41384,0,0,8
2026-07-13T12:01:50Z,AIXBT,0.018843,11535,144119,0,0,12
2026-07-13T12:01:50Z,BIO,0.028846,66788,212219,0,0,17
2026-07-13T12:01:50Z,GRIFFAIN,0.008502,22591,76240,0,0,14
2026-07-13T12:01:50Z,ANIME,0.00273,42649,40497,0,0,14
2026-07-13T12:01:50Z,LAYER,0.065001,33659,42451,0,0,9
2026-07-13T12:01:50Z,KAITO,0.66943,18188,316642,0,0,17
2026-07-13T12:01:50Z,BABY,0.012656,20329,53497,0,0,11
2026-07-13T12:01:50Z,WCT,0.043646,19819,29679,0,0,6
2026-07-13T12:01:50Z,HYPER,0.06735,52699,116108,0,0,11
2026-07-13T12:01:50Z,ZORA,0.006713,38117,108526,0,0,13
